product,tier_name,lowest_paid_tier_annual_price,research
Teamwork,Deliver,131.88,"{'tier_name': ""The lowest paid tier is named 'Deliver' according to the official Teamwork pricing page [512995]. This is the first paid plan tier after the free tier."", 'lowest_paid_tier_annual_price': 'The Deliver tier is priced at $10.99 per user per month when billed yearly [512995]. Multiplying by 12 months gives an annual price of $131.88 USD per user. Note that Teamwork uses a per-user pricing model, so the total cost depends on the number of team members. The price cited ($131.88) represents the annual cost per individual user.'}"
Height,Team plan,83.88,"{'tier_name': ""According to G2's pricing page for Height (last updated October 10, 2024), the lowest paid tier is called the 'Team plan' [e52a19]. However, it is important to note that Height.app announced it will be shutting down on September 24, 2025, which has already passed as of the current date (January 21, 2026), meaning this product is no longer operational."", 'lowest_paid_tier_annual_price': 'The G2 pricing page indicated the Team plan costs $6.99 per year [e52a19], which calculates to approximately $83.88 annually. However, this pricing figure from G2 appears to be inconsistent with other sources found during research (TechRepublic cited $8.50/month billed monthly or $6.99/month billed yearly), suggesting possible data quality issues on the G2 page. Given that Height has shut down as of September 24, 2025, current pricing information is not applicable. The calculation used here ($6.99 × 12 = $83.88) was based on the G2 source, but users should be aware that this product is no longer available for purchase.'}"
Figma,Professional,36.0,"{'tier_name': ""The Professional tier with a Collab seat is Figma's lowest paid plan. This information was obtained from the official Figma pricing page at https://www.figma.com/pricing/ [dfd9ce]. The Professional plan offers multiple seat types (Collab, Dev, and Full), with the Collab seat at $3/month being the cheapest paid option."", 'lowest_paid_tier_annual_price': 'The Professional Collab seat costs $3/month according to the official Figma pricing page [dfd9ce]. Annual price calculated as $3/month × 12 months = $36 USD. This is the lowest paid tier available; the free Starter plan was excluded as requested (only paid tiers were considered).'}"
Miro,Starter,96.0,"{'tier_name': ""The lowest paid tier is named 'Starter' according to Miro's official pricing page as of 2026-01-21 [9a41e9]."", 'lowest_paid_tier_annual_price': 'The Starter tier costs $8 per member per month when billed annually, which equals $96 per member annually [9a41e9]. Note that Miro uses per-member pricing, so this represents the annual cost per team member rather than a flat account fee. The calculation: $8/month × 12 months = $96/year per member. This is the lowest-priced paid plan; there is also a free tier available, but the task specifically requests the lowest paid tier.'}"
Canva,Pro,120.0,"{'tier_name': 'Canva Pro is the lowest paid tier offered by Canva. This was confirmed from the official Canva pricing page at https://www.canva.com/en/pricing/ [225e1f], which lists Pro as a paid plan alongside Business and Enterprise tiers.', 'lowest_paid_tier_annual_price': 'The annual price for Canva Pro is $120 USD per year, as stated on the official Canva pricing page [225e1f]. This is the lowest paid tier price, as Canva Business costs $200/year per person and Enterprise pricing requires contacting sales.'}"
Adobe Creative Cloud,AI Assistant for Acrobat,59.88,"{'tier_name': ""The tier name 'AI Assistant for Acrobat' was identified from the official Adobe Creative Cloud pricing page, which lists this as the lowest-priced paid plan for individuals at $4.99/month [4b2748]. This plan was presented on the official Adobe pricing page at https://www.adobe.com/creativecloud/plans.html."", 'lowest_paid_tier_annual_price': ""The annual price of $59.88 was calculated by multiplying the monthly price of $4.99 by 12 months [4b2748]. The source document explicitly listed all individual plans and their pricing, with 'AI Assistant for Acrobat' at US$4.99/mo being the lowest-priced paid option available to individuals on Adobe Creative Cloud as of the date queried.""}"
Sketch,Standard,144.0,"{'tier_name': 'The Standard plan is the lowest paid tier for Sketch, as stated on the official Sketch pricing page [c89bfb]. This is the entry-level paid plan, with higher tiers being Business, Enterprise, Private Cloud, and a perpetual Mac-only license option.', 'lowest_paid_tier_annual_price': 'The Standard plan costs $12 per editor per month when billed yearly, which equals $144 annually ($12 × 12 months) [c89bfb]. This pricing was confirmed current as of 2026-01-21 from the official Sketch pricing page.'}"
InVision,Starter,180.0,"{'tier_name': ""The lowest paid tier is named 'Starter' according to G2's InVision pricing page [8acc63]. However, a separate source (Toolradar) lists a 'Pro' plan at $7.95/month as the lowest paid tier [bb4566]. The G2 source appears more recent and comprehensive, listing four tiers (Free, Starter, Professional, Team) with the Starter tier at $15/month being the lowest paid option."", 'lowest_paid_tier_annual_price': 'The Starter tier is priced at $15 per month according to G2 [8acc63], which equals $180 annually ($15 × 12). Note: There is conflicting information from Toolradar citing a $7.95/month Pro plan ($95.40 annually) [bb4566], but this appears to be outdated or referring to a different product variant. The G2 source with last update date of October 09, 2024 provides the most detailed tier breakdown and is treated as more authoritative for current InVision (design prototyping tool) pricing.'}"
Zeplin,,,
Framer,Basic,120.0,"{'tier_name': ""The lowest paid tier is named 'Basic' according to Framer's official pricing page accessed on 2026-01-21 [01bb13]."", 'lowest_paid_tier_annual_price': ""Basic plan costs $10 per month, which equals $120 annually ($10 × 12 months) [01bb13]. This information was obtained directly from Framer's official pricing page at https://www.framer.com/pricing.""}"
Penpot,Unlimited,84.0,"{'tier_name': ""According to Penpot's official pricing page, the lowest paid tier is called 'Unlimited' [fac346]. This is the cheapest paid plan, below the 'Enterprise' tier which costs $950/month."", 'lowest_paid_tier_annual_price': ""The 'Unlimited' plan costs $7 per user per month according to Penpot's official pricing page [fac346]. Multiplying by 12 months gives an annual price of $84 per user. Note: this is a per-user annual price; organizations would need to multiply by the number of users/editors they employ.""}"
Whimsical,Pro,120.0,"{'tier_name': 'The Pro tier is identified as the lowest paid tier on the official Whimsical pricing page. Whimsical offers four tiers: Free ($0), Pro ($10/month), Business ($15/month), and Enterprise ($20/month). Since the task requires the lowest paid tier (excluding free), Pro is the correct tier [180d9f].', 'lowest_paid_tier_annual_price': 'The Pro plan is priced at $10 per month per editor according to the official pricing page, which converts to $120 annually ($10 × 12 months). This is the lowest priced paid plan, as the Free tier at $0 does not qualify as a paid tier [180d9f].'}"
Lucidchart,Individual,108.0,"{'tier_name': ""The lowest paid tier is called 'Individual' as confirmed on the official Lucidchart pricing page [e65e99]."", 'lowest_paid_tier_annual_price': 'The Individual plan is priced at $9.00 per month. Annual price is calculated as $9.00 × 12 = $108.00 per year [e65e99]. This is the lowest paid tier; the next tier (Team) starts at $10.00 per user per month, and Enterprise pricing requires contacting sales [e65e99].'}"
Excalidraw,Plus,72.0,"{'tier_name': ""The lowest paid tier is named 'Plus' according to the official Excalidraw pricing page [3fc0cc]."", 'lowest_paid_tier_annual_price': 'Excalidraw Plus costs $6 per month per user when paid yearly [3fc0cc]. Annual price is calculated as $6/month × 12 months = $72 per year per user. This is the lowest paid tier available; the base Excalidraw offering is free with no paid features between the free tier and the Plus tier [3fc0cc].'}"
GitHub,Team,48.0,"{'tier_name': ""GitHub's lowest paid tier is named 'Team', as confirmed by their official pricing page dated 2026-01-21 [415214]."", 'lowest_paid_tier_annual_price': 'The Team tier costs $4 USD per user per month, which equates to $48 USD per user annually [415214]. This is the lowest paid tier offered by GitHub (excluding the free tier). The price cited is current as of January 21, 2026.'}"
GitLab,Premium,348.0,"{'tier_name': ""According to GitLab's official pricing page (accessed 2026-01-21), the lowest paid tier is named 'Premium' [6c82a0]. This is the tier immediately above the free tier."", 'lowest_paid_tier_annual_price': ""GitLab Premium is priced at $29 per user/month, billed annually, which equals $348 per user per year [6c82a0]. The source is GitLab's official pricing page at https://about.gitlab.com/pricing/ last updated 2026-01-21. The price is per user, and this represents the minimum annual cost for a single user on GitLab's lowest paid plan.""}"
Bitbucket,Standard,43.8,"{'tier_name': 'The Standard plan is the lowest paid tier for Bitbucket Cloud, as confirmed from the official Atlassian pricing page [83c01f]. The Free tier (up to 5 users for $0) is not a paid tier, making Standard the lowest tier requiring payment.', 'lowest_paid_tier_annual_price': 'The Standard plan costs $3.65 per user per month [83c01f]. Annual price calculated as $3.65 × 12 months = $43.80 per user annually. This is per-user pricing; the actual cost to a team would depend on the number of users. The calculation assumes the minimum billable user unit, which is standard for SaaS per-user pricing models.'}"
Azure DevOps,Basic,72.0,"{'tier_name': ""The lowest paid tier is 'Basic' according to the official Azure DevOps Services pricing page [7038a3]. This tier allows 5 free users, with additional Basic users costing $6 per user per month."", 'lowest_paid_tier_annual_price': 'The Basic plan costs $6 per user per month [7038a3]. Calculated annually: $6 × 12 months = $72 per user per year. This is the lowest-cost paid tier option, as the first 5 users in any organization are free. Source: https://azure.microsoft.com/en-us/pricing/details/devops/azure-devops-services/ [7038a3]'}"
Gitea,Gitea Cloud,114.0,"{'tier_name': ""Gitea Cloud is identified as the lowest paid tier on the official Gitea pricing information as documented on G2's pricing page. The tier name is 'SaaS (Gitea Cloud)' [d5a6f3]."", 'lowest_paid_tier_annual_price': ""The Gitea Cloud tier costs $9.50 per month for 1 seat [d5a6f3]. Multiplying by 12 months yields an annual price of $114.00 USD. This is the lowest paid offering among Gitea's commercial plans, which also include an Enterprise tier starting at $114/year per seat (with different features) [d5a6f3]. The free Open Source tier exists but is not a paid plan. The pricing information is current as of March 27, 2025 according to the G2 source [d5a6f3].""}"
Sourcegraph,Enterprise Search,588.0,"{'tier_name': ""The tier name 'Enterprise Search' was found on Sourcegraph's official pricing page at https://sourcegraph.com/pricing [9129b8]. This is identified as the cheapest paid plan offered by Sourcegraph."", 'lowest_paid_tier_annual_price': ""The price of $49 per user per month for the Enterprise Search tier was obtained from Sourcegraph's pricing page [9129b8]. This was converted to an annual price by multiplying $49 × 12 months = $588 USD. The calculation follows the standard instruction to report annual prices, converting from the monthly billing shown on their pricing page.""}"
AWS,Business Support+,348.0,"{'tier_name': ""AWS offers a pay-as-you-go pricing model for cloud services with no fixed tiers [4494fe]. However, AWS also provides support plans with fixed pricing. The lowest paid support plan tier is 'Business Support+' as found on the AWS Premium Support pricing page [d92b39]."", 'lowest_paid_tier_annual_price': ""The Business Support+ plan has a base minimum annual price of $348 USD (calculated as $29 per month × 12 months). This is the lowest fixed annual price for a paid AWS offering, though the actual cost may be higher depending on a percentage of monthly AWS service charges [d92b39]. AWS cloud services themselves operate on pay-as-you-go consumption-based pricing with no minimum tier cost, but the question specifically asks for the lowest 'paid tier', which is interpreted as the lowest fixed-price plan offering from AWS.""}"
Google Cloud,No named paid tier - Pay-as-you-go model,0.0,"{'tier_name': 'Google Cloud does not offer traditional named pricing tiers (such as Starter, Pro, Enterprise, etc.). Instead, Google Cloud uses a consumption-based pay-as-you-go pricing model where customers pay only for the resources they use. According to search results, Google Cloud offers a Free Trial with $300 in free credits and access to 20+ products with free monthly usage limits, followed by pay-as-you-go consumption pricing with no minimum commitment. Since there are no distinct named paid tiers separate from the free tier, only a consumption-based model exists.', 'lowest_paid_tier_annual_price': 'Set to 0 because Google Cloud does not have traditional paid subscription tiers. Pricing begins at consumption-based rates after free tier limits are exceeded, with no fixed annual minimum charge for any specific tier. Source: Google Cloud pricing overview and documentation found through search results indicating pay-as-you-go structure with no tiered plans.'}"
Azure,Developer,348.0,"{'tier_name': 'The lowest paid tier for Azure is the Developer support plan, identified from the official Azure support plans page [db95fa].', 'lowest_paid_tier_annual_price': ""The Developer plan costs $29 per month according to the Azure support plans comparison page [db95fa]. Multiplying by 12 months yields $348 annually. Note: Azure is primarily a pay-as-you-go cloud platform without traditional subscription 'tiers' in the SaaS sense. The $29/month Developer plan refers to Azure's support plan tier, which is the lowest paid support tier available. The actual Azure cloud services themselves start at $0 with pay-as-you-go usage-based pricing, but the lowest paid support tier is what is reported here [db95fa].""}"
DigitalOcean,Droplets,48.0,"{'tier_name': ""DigitalOcean's pricing page [9f6f5c] lists Droplets as a Compute product starting at $4/month, making it the lowest paid tier among all DigitalOcean offerings including App Platform ($0/month - free), Kubernetes ($12/month), Databases ($15/month), Spaces ($5/month), Volumes ($10/month), and Load Balancers ($12/month)."", 'lowest_paid_tier_annual_price': ""Calculated from the monthly price of $4/month listed on DigitalOcean's official pricing page [9f6f5c]. Annual price = $4/month × 12 months = $48/year. The pricing page was last updated 2026-01-21, providing current information.""}"
Vercel,Pro,240.0,"{'tier_name': ""The Pro plan is identified as Vercel's lowest paid tier (non-free) on the official pricing page [95db5b]. The Hobby plan is free forever, making Pro the cheapest paid option."", 'lowest_paid_tier_annual_price': ""Vercel's Pro plan costs $20/month plus usage-based overages [95db5b]. Annual price calculated as $20/month × 12 months = $240/year. This is the base subscription cost; actual bills may be higher due to usage-based charges, but the fixed tier price is $240 annually.""}"
Netlify,Personal,108.0,"{'tier_name': ""The tier name 'Personal' is the lowest paid tier on Netlify's official pricing page [2a6b5f]. There is a free tier, but the task asks for the lowest paid tier."", 'lowest_paid_tier_annual_price': ""The Personal tier costs $9 per month according to Netlify's pricing page [2a6b5f]. Multiplying by 12 months yields $108 annually. The pricing page was last updated on 2026-01-21, making this current information as of the task date.""}"
Heroku,Eco,60.0,"{'tier_name': ""The lowest paid tier for Heroku's core Dyno compute offering is 'Eco', as shown on the official Heroku pricing page [df2cab]. This is the starting paid tier for compute resources, listed before Basic ($7/month), Standard-1X ($25/month), and higher performance tiers."", 'lowest_paid_tier_annual_price': ""The Eco tier costs $5 per month according to Heroku's official pricing page [df2cab]. Multiplying by 12 months gives an annual cost of $60 USD. Note: Heroku also offers other services like Key-Value Store with a Mini tier at $3/month ($36/year), but Eco is the lowest cost tier for the primary Dyno platform compute offering, which is Heroku's core product.""}"
Railway,Hobby,60.0,"{'tier_name': ""The lowest paid tier is called 'Hobby' as stated on Railway's official pricing page [ae82cf]. This is a paid tier (not a free tier) with a minimum usage requirement."", 'lowest_paid_tier_annual_price': ""The Hobby tier costs $5 per month according to Railway's pricing page [ae82cf], which equals $60 annually (5 × 12). This is the lowest paid tier; the next tier up is Pro at $20/month ($240/year), and Enterprise has custom pricing.""}"
Render,Starter,84.0,"{'tier_name': ""The Starter tier is the lowest paid tier for Render's Web Services, as confirmed on the official pricing page [b23cf9]. The pricing page lists Hobby as free ($0/month), followed by Starter at $7/month for Web Services, making Starter the lowest paid tier [b23cf9]."", 'lowest_paid_tier_annual_price': 'The Starter tier for Web Services costs $7/month, which calculates to $84 annually ($7 * 12 = $84) [b23cf9]. This is lower than the Professional tier at $19/month ($228 annually) and Organization tier at $29/month ($348 annually) [b23cf9]. The Starter tier is specific to Web Services and represents the cheapest paid option available on Render [b23cf9].'}"
Fly.io,Standard Support (Serious Support),348.0,"{'tier_name': ""Fly.io operates on a usage-based 'Pay-as-You-Go' model for infrastructure charges, with no minimum monthly commitment for new customers. The lowest paid tier available is 'Standard Support' (also called 'Serious Support') at $29/month, according to the official pricing documentation [4a36f1, 511295]. Legacy 'Hobby' plans at $5/month are discontinued and unavailable to new customers."", 'lowest_paid_tier_annual_price': 'The Standard Support tier is priced at $29/month [4a36f1, 511295]. Multiplied by 12 months = $348/year. This represents the lowest committed monthly paid tier, though the core infrastructure uses usage-based pricing with no minimum charges [511295].'}"
Cloudflare Workers,Workers Paid,60.0,"{'tier_name': ""The lowest paid tier for Cloudflare Workers is called 'Workers Paid' [5e5fcc]. This is a distinct plan from the free tier and includes higher usage allowances [5e5fcc]."", 'lowest_paid_tier_annual_price': 'The Workers Paid plan has a minimum charge of $5 USD per month [5e5fcc], which equates to $60 annually ($5 x 12 months). This is the lowest paid tier; there is a free tier available but the task specifies to report the lowest paid (not free) tier [ccf9b8, 5e5fcc]. Sources are current as of late 2025 to January 2026.'}"
Deno Deploy,Pro,240.0,"{'tier_name': ""The tier name 'Pro' is the lowest paid (non-free) tier offered by Deno Deploy, as stated on their official pricing page [8778cf]."", 'lowest_paid_tier_annual_price': ""The Pro tier costs $20/month according to Deno Deploy's official pricing page [8778cf]. Multiplying by 12 months gives an annual price of $240 USD. Deno Deploy offers three tiers: Free ($0/month), Pro ($20/month), and Enterprise (custom pricing), making Pro the lowest paid tier.""}"
Stripe,No recurring tier (pay-as-you-go),0.0,"{'lowest_paid_tier_annual_price': ""Stripe's core payment processing service operates on a pay-as-you-go transaction model with 2.9% + 30 cents per successful transaction for domestic cards, with no setup fees, monthly fees, or hidden fees [7be9a6]. This means there is no mandatory recurring paid subscription tier. While Stripe does offer additional paid products like Sigma (starting at $120/year), Billing ($7,440/year), and Tax Complete ($1,080/year), these are optional add-ons rather than core tiers of the Stripe payment platform itself [7be9a6]. Since the primary Stripe service has no required paid tier and the instructions specify to use 0 if the product has no paid tier, 0 is reported. Current as of 2026-01-21 per the pricing page last updated date."", 'tier_name': ""Stripe's primary offering is transaction-based pricing with no subscription tiers. Users can access the service with no upfront cost and only pay per transaction processed [7be9a6]. Optional add-on products are available separately.""}"
PayPal,Payments Advanced,60.0,"{'tier_name': ""According to PayPal's official business fees page (last updated October 29, 2025), Payments Advanced is listed as a paid service tier with a $5.00 USD monthly fee [7c48bf, 99ab36]. This is the lowest-priced paid tier among PayPal's subscription services."", 'lowest_paid_tier_annual_price': ""The Payments Advanced tier costs $5.00 USD per month [99ab36], which equals $60.00 annually ($5.00 × 12 months). This represents the lowest-cost paid subscription tier offered by PayPal, compared to other paid services such as Invoicing Subscription at $14.99/month, Recurring Billing at $10.00/month, and Payflow Pro at $25.00/month [7c48bf]. PayPal's primary transaction-based fees model has no monthly subscription required, but for those seeking premium payment gateway services, Payments Advanced is the cheapest option with a paid tier.""}"
Square,Square Plus,588.0,"{'tier_name': ""The tier name 'Square Plus' was identified from Square's official pricing page [5b3b7d], which clearly lists three tiers: Square Free (free), Square Plus ($49/month), and Square Premium ($149/month). Square Plus is the lowest-priced paid tier."", 'lowest_paid_tier_annual_price': ""The annual price of $588 was calculated from the monthly price of $49/month shown on Square's official pricing page [5b3b7d], multiplied by 12 months ($49 × 12 = $588). This represents the cost per location as stated on the pricing page.""}"
Braintree,Standalone Gateway,588.0,"{'lowest_paid_tier_annual_price': 'Braintree offers a Standalone Gateway Fee option that costs $49 per month plus $0.10 per transaction [98cb37, ff9729]. The annual cost is calculated as $49 × 12 = $588. This is the only identified paid tier with a fixed monthly subscription cost. The standard merchant processing service operates on a transaction-only model with $0/month base cost (2.9% + $0.30 per transaction), so it does not constitute a paid tier [98cb37, ff9729].', 'tier_name': ""The Standalone Gateway is the named paid tier option in Braintree's pricing structure [98cb37, ff9729]. Braintree does not use traditional SaaS tier names like Pro or Starter, but instead offers this specific gateway service as an optional paid add-on for businesses using only the payment gateway without a merchant account [ff9729].""}"
Paddle,Pay-as-you-go,0.0,"{'lowest_paid_tier_annual_price': ""Paddle uses a transaction-based pricing model rather than fixed annual subscription tiers. The only publicly available pricing is 'Pay-as-you-go' at 5% + $0.50 per transaction, which does not have a fixed annual price. Since the tier lacks a fixed annual cost and the task requires reporting annual pricing in USD, 0 is reported [35c765, e4354d]. This is not because pricing is private, but because Paddle's business model is transaction-based rather than subscription-based."", 'tier_name': ""Paddle's pricing model is transaction-based with a single 'Pay-as-you-go' tier at 5% + $0.50 per transaction, as confirmed by both the official Paddle pricing page and G2 [35c765, e4354d]. This is technically a paid offering (not free), but it does not follow traditional SaaS tiered subscription pricing with named tiers like 'Starter' or 'Pro'.""}"
Lemon Squeezy,Ecommerce,0.0,"{'tier_name': ""Lemon Squeezy's primary offering is the Ecommerce tier, which is the lowest (and only) paid tier structure [48b49a]. The platform does not charge monthly subscription fees for accessing ecommerce features."", 'lowest_paid_tier_annual_price': ""According to Lemon Squeezy's official pricing page, there are no monthly charges for ecommerce features - only transaction-based fees of 5% + 50¢ per sale [48b49a]. Since there are no fixed monthly or annual subscription fees, the annual price for the lowest paid tier is $0. While the platform does charge transaction fees when sales occur, these are not subscription-based charges and do not constitute a traditional 'paid tier' with fixed pricing. The product operates on a transaction-based model rather than a tiered subscription model [48b49a].""}"
Gumroad,No paid tier,0.0,"{'lowest_paid_tier_annual_price': ""Gumroad's official pricing page states 'No monthly fees, just a simple 10% cut per sale' and explicitly states 'Unlike other platforms, Gumroad doesn't charge you a monthly fee' [45e725]. The platform operates on a transaction-based model with fees of 10% + $0.50 per transaction, not subscription tiers. No traditional paid subscription plans are offered on the official pricing page. While some search results mentioned potential Pro tier options, these were not confirmed on the official pricing page, and Gumroad's stated business model has no monthly subscription charges."", 'tier_name': ""Gumroad does not offer traditional paid subscription tiers. The platform is free to use with transaction-based fees only [45e725]. Per the task instructions, when a product has no paid tier, the tier name is 'No paid tier' and price is 0.""}"
Chargebee,Performance,7188.0,"{'tier_name': ""The lowest paid tier for Chargebee's core Billing product is 'Performance', as confirmed on the official Chargebee pricing page [e90ab2]. This is the tier below the free/freemium Starter tier, which is free for the first $250K of cumulative billing."", 'lowest_paid_tier_annual_price': ""The annual price for the Performance tier is USD 7,188/year according to Chargebee's official pricing page [fcdace]. This represents an annual commitment billed monthly. Note: Chargebee also offers other products (Retention, RevRec, CPQ) with different pricing structures; the Retention product's Performance tier is lower at $3,750/year, but the core Billing product's Performance tier at $7,188 is the lowest paid tier for Chargebee's primary offering. Sources: https://www.chargebee.com/pricing/ [e90ab2, fcdace]""}"
Twilio,Basic,180.0,"{'tier_name': ""The lowest paid tier offered by Twilio is named 'Basic,' which is part of the Twilio SendGrid Marketing Campaigns product line [c74e8b]. This was identified from the main Twilio pricing page which lists all product pricing tiers across their platform [30cd11]."", 'lowest_paid_tier_annual_price': 'The Basic tier costs $15 per month [c74e8b]. Converted to annual pricing as requested: $15/month × 12 months = $180 per year. This is the lowest fixed monthly paid tier across all Twilio products; while some products like SMS and Voice use pure pay-as-you-go usage-based pricing, this Basic tier represents the lowest entry point to a paid subscription tier [30cd11].'}"
SendGrid,Basic,180.0,"{'tier_name': 'Based on the official SendGrid pricing page [7f993a], SendGrid offers two product categories: Email API and Marketing Campaigns. The Marketing Campaigns section has a Basic plan starting at $15/month, which is the lowest paid tier across all SendGrid offerings. The Email API section has an Essentials plan starting at $19.95/month, which is higher than the Marketing Campaigns Basic plan.', 'lowest_paid_tier_annual_price': ""The Marketing Campaigns Basic plan is priced at $15/month [7f993a]. Multiplying by 12 months gives $180 annual price. This is the lowest paid tier across SendGrid's entire product offerings, as confirmed on their official pricing page dated 2026-01-21 [7f993a].""}"
Mailchimp,Essentials,156.0,"{'tier_name': ""The Essentials plan is Mailchimp's lowest paid tier. This was found on the official Mailchimp pricing page for marketing plans [6513d6]."", 'lowest_paid_tier_annual_price': 'The Essentials plan starts at $13.00 per month [6513d6]. To calculate the annual price: $13.00 × 12 months = $156.00 per year. Note: Mailchimp also offers a free tier with 250 contact limit, which is not a paid tier, so the Essentials plan at $13/month is the lowest paid option.'}"
ConvertKit,Creator,390.0,"{'tier_name': ""The tier name 'Creator' was identified as the lowest paid tier on Kit's (formerly ConvertKit's) official pricing page. Source: Kit pricing page accessed 2026-01-21 [324886], which shows three tiers: Newsletter (free), Creator (paid), and Pro (paid)."", 'lowest_paid_tier_annual_price': ""The Creator plan costs $390 per year when billed annually. This was confirmed from Kit's official pricing page [324886] which states '$390 billed yearly' for the Creator plan for up to 1,000 subscribers. This is the lowest priced paid tier, with the Newsletter tier being free.""}"
