monthly_downloads,package,days_since_release,research
56726437,dulwich,4,"{'days_since_release': ""Today is 2026-01-21. The latest release of 'dulwich' on PyPI is version 1.0.0, released on January 17, 2026 [1996c3]. The number of days from January 17, 2026, to January 21, 2026, is 4 days. Note: earlier search snippets showed version 0.25.2 on Jan 11, but the direct document query returned a more recent 1.0.0 release.""}"
261520701,grpcio-tools,5,"{'days_since_release': 'The last release of grpcio-tools (version 1.78.0rc2) occurred on Jan 16, 2026 [b0f8a3]. As of today, Jan 21, 2026, the number of days since this release is 5 days.'}"
257245803,grpcio,5,"{'days_since_release': ""The latest release for 'grpcio' is version 1.78.0rc2, which was released on Jan 16, 2026 [257dae]. Given today's date of Jan 21, 2026, the number of days since the last release is 5. If only stable releases were considered, version 1.76.0 was released on Oct 21, 2025 [257dae], which would be 92 days ago. However, the task specifies the package's last release, which typically includes pre-releases.""}"
113766696,transformers,5,"{'days_since_release': ""The last version of the 'transformers' package (v4.57.6) was released on Jan 16, 2026 [970845]. Given today's date is Jan 21, 2026, the number of days since the last release is 5.""}"
102716015,kubernetes,5,"{'days_since_release': ""The last release of the 'kubernetes' package on PyPI is version 35.0.0, released on January 16, 2026 [8e1e5e]. Given today's date of January 21, 2026, the number of days since the release is 5 days (January 16 to January 21).""}"
100565456,langchain,5,"{'days_since_release': ""The latest version of langchain (1.2.6) was released on January 16, 2026 [3ba095]. Given today's date is January 21, 2026, the number of days since release is 5.""}"
98279804,grpcio-health-checking,5,"{'days_since_release': ""The latest release for grpcio-health-checking (version 1.78.0rc2) was on January 16, 2026 [817dfb]. Given today's date is January 21, 2026, the number of days since release is 5.""}"
246358606,google-genai,6,"{'days_since_release': ""The package 'google-genai' (version 1.59.0) was released on January 15, 2026, according to its PyPI project page. Given the current date of January 21, 2026, the number of days since the last release is 6.""}"
113595124,google-auth-oauthlib,6,"{'days_since_release': 'The latest release for google-auth-oauthlib is version 1.2.4, which was released on January 15, 2026 [75f34b]. From January 15, 2026, to the current date of January 21, 2026, is 6 days.'}"
112030236,langsmith,6,"{'days_since_release': ""The package 'langsmith' version 0.6.4 was released on January 15, 2026 [9b3e51]. Given the current date of January 21, 2026, the number of days since release is 6 (January 21 - January 15).""}"
106581775,ruff,6,"{'days_since_release': ""The latest release of the 'ruff' package is version 0.14.13, which was published on January 15, 2026 [0bb4c3]. Given that today's date is January 21, 2026, the number of days since the last release is 6.""}"
99218170,textual,6,"{'days_since_release': 'The latest release of textual (version 7.3.0) occurred on January 15, 2026 [b62221]. Calculated from the current date of 2026-01-21, the duration is 6 days.'}"
83960695,uv,6,"{'days_since_release': ""The latest version of the 'uv' package (0.9.26) was released on January 15, 2026 [4e8e83]. Given today's date of January 21, 2026, the number of days since the last release is 6 days (21 - 15).""}"
68105348,google-cloud-vision,6,"{'days_since_release': ""The last release of google-cloud-vision (version 3.12.0) on PyPI was on January 15, 2026 [298716]. Given today's date of January 21, 2026, the number of days since release is 6 (21 - 15 = 6).""}"
66816192,google-cloud-monitoring,6,"{'days_since_release': ""The latest version of google-cloud-monitoring (2.29.0) was released on January 15, 2026, according to its PyPI page [5584bf]. With today's date being January 21, 2026, it has been 6 days since the last release.""}"
66430960,google-cloud-tasks,6,"{'days_since_release': ""The package 'google-cloud-tasks' was last released on January 15, 2026 (version 2.21.0) as documented on PyPI [7374f2]. Given today's date of January 21, 2026, the number of days since release is 6.""}"
66299450,google-cloud-speech,6,"{'days_since_release': ""The latest release of the 'google-cloud-speech' package is version 2.36.0, which was published on January 15, 2026 [75d848]. Given that today's date is January 21, 2026, the number of days since the last release is 6.""}"
66111238,google-cloud-dlp,6,"{'days_since_release': ""Today is 2026-01-21. The latest release of 'google-cloud-dlp' was on January 15, 2026 [47fe3a]. The number of days since Jan 15 to Jan 21 is 21 - 15 = 6 days.""}"
65403655,google-cloud-compute,6,"{'days_since_release': ""The latest release for 'google-cloud-compute' (version 1.42.0) was on January 15, 2026 [b46ca0]. Today's date is January 21, 2026. 21 - 15 = 6 days.""}"
64867154,google-cloud-workflows,6,"{'days_since_release': ""The package 'google-cloud-workflows' was last released on January 15, 2026 [af4b81]. Given the current date is January 21, 2026, the number of days since the last release is 6.""}"
64641303,databricks-sdk,6,"{'days_since_release': ""The last release of the 'databricks-sdk' package was version 0.78.0, released on January 15, 2026, according to PyPI [3e07f9]. With today's date being January 21, 2026, the number of days elapsed is 6.""}"
64558997,google-cloud-language,6,"{'days_since_release': ""The package 'google-cloud-language' had its last release (version 2.19.0) on January 15, 2026 [2a3d63]. Given the current date of January 21, 2026, the number of days since the last release is 6 days.""}"
62390349,google-cloud-videointelligence,6,"{'days_since_release': ""The package 'google-cloud-videointelligence' has a last release date of January 15, 2026 (version 2.18.0), as found on its PyPI release history page. With the current date being January 21, 2026, the number of days since the last release is 6.""}"
61902590,google-cloud-kms,6,"{'days_since_release': ""The latest release of the 'google-cloud-kms' package on PyPI was on January 15, 2026 [4def3c]. Given the current date of January 21, 2026, the number of days since this release is 6 days (21 - 15).""}"
61607170,google-cloud-os-login,6,"{'days_since_release': ""The latest release for google-cloud-os-login (version 2.19.0) was on January 15, 2026 [df939a]. Given today's date is January 21, 2026, the number of days since release is 6.""}"
59477672,google-cloud-redis,6,"{'days_since_release': ""The 'google-cloud-redis' package last release (version 2.20.0) was on January 15, 2026 [e19033]. Given today's date of 2026-01-21, the number of days elapsed is 6 (21 - 15 = 6 days).""}"
212980001,trove-classifiers,7,"{'days_since_release': ""The latest version of the 'trove-classifiers' package was released on January 14, 2026 [572c76]. Given today's date is January 21, 2026, the number of days since the last release is 7 (2026-01-21 minus 2026-01-14).""}"
173912133,regex,7,"{'days_since_release': ""The 'regex' package version 2026.1.15 was released on January 14, 2026 [dabd4f]. Given today's date is January 21, 2026, the number of days elapsed is 7.""}"
167534594,google-cloud-storage,7,"{'days_since_release': ""The latest release of 'google-cloud-storage' (version 3.8.0) was on January 14, 2026, as found on PyPI [d24f9d]. Given today's date of January 21, 2026, the number of days since release is 7.""}"
112213468,alembic,7,"{'days_since_release': ""The last version of the 'alembic' package was released on Jan 14, 2026 [05e040]. Given today's date is Jan 21, 2026, the number of days since the last release is 7.""}"
95140120,prometheus-client,7,"{'days_since_release': ""The package prometheus-client was last released on January 14, 2026, which is 7 days before today's date of January 21, 2026 [335ec3].""}"
63675801,dbt-adapters,7,"{'days_since_release': 'The latest release for dbt-adapters was on January 14, 2026 [a9ac5b]. From January 14, 2026, to the current date of January 21, 2026, is exactly 7 days.'}"
202349564,tomlkit,8,"{'days_since_release': ""The last release of the 'tomlkit' package was published on January 13, 2026 [7e973f]. Calculating the duration between January 13, 2026, and the current date of January 21, 2026, results in 8 days.""}"
113342067,google-api-python-client,8,"{'days_since_release': 'The latest release of google-api-python-client on PyPI (version 2.187.0) was on January 13, 2026 [b0914f]. Since today is January 21, 2026, the number of days since the last release is 21 - 13 = 8 days.'}"
90609032,jaraco-context,8,"{'days_since_release': ""The latest release of jaraco.context (version 6.1.0) was on 2026-01-13 [840206]. Given today's date of 2026-01-21, the number of days since release is 8.""}"
80227421,awswrangler,8,"{'days_since_release': ""The latest release of 'awswrangler' on PyPI is version 3.15.0, which was released on January 13, 2026 [8ddac3]. As of today, January 21, 2026, the number of days since that release is 8 days.""}"
79400089,pandas-stubs,8,"{'days_since_release': ""The latest release of 'pandas-stubs' (version 2.3.3.260113) was on January 13, 2026 [e72f34]. Calculating from January 13, 2026, to January 21, 2026, results in 8 days.""}"
149759891,azure-core,9,"{'days_since_release': ""The package 'azure-core' was last released (version 1.38.0) on 2026-01-12 [f7f8be]. Given today's date is 2026-01-21, the number of days since the release is 9 (21 - 12).""}"
86850577,identify,9,"{'days_since_release': ""The latest release of the 'identify' package is version 2.6.16, which was released on January 12, 2026 [0ff047]. Calculating the days from January 12, 2026, to the current date of January 21, 2026, results in 9 days.""}"
59489069,notebook,9,"{'days_since_release': ""The 'notebook' package's latest version (7.5.2) was released on Jan 12, 2026, according to PyPI [8d703e]. Given today's date of Jan 21, 2026, the number of days since release is 9 (21 - 12 = 9).""}"
256673318,tomli,10,"{'days_since_release': ""The package 'tomli' last release (version 2.3.0) was on Jan 11, 2026, as found on pypi.org (https://pypi.org/project/tomli/). Given today's date is Jan 21, 2026, the number of days since release is 10.""}"
262244319,scipy,11,"{'days_since_release': ""The latest release for 'scipy' on PyPI (version 1.17.0) was on January 10, 2026 according to the PyPI project page (https://pypi.org/project/scipy/) and the official SciPy news (https://scipy.org/news/). Given today's date of January 21, 2026, the number of days since the last release is 11.""}"
142590563,websockets,11,"{'days_since_release': ""The package 'websockets' was last released on January 10, 2026 (version 16.0) as documented on PyPI [145472]. Given today's date of January 21, 2026, the number of days since release is 11.""}"
273521302,virtualenv,12,"{'days_since_release': ""The latest release of 'virtualenv' was on January 9, 2026, as found on PyPI [fe9ff6]. Given the current date is January 21, 2026, the number of days since the release is 12 (21 - 9).""}"
241427597,pathspec,12,"{'days_since_release': ""The last release of 'pathspec' on PyPI was version 1.0.3, published on January 9, 2026 [bbf679]. Given today's date of January 21, 2026, the number of days since the last release is 12 days.""}"
129901324,openai,12,"{'days_since_release': ""The latest release for the openai package was version 2.15.0 on January 9, 2026 [23c1b1]. Given today's date of January 21, 2026, the number of days since release is 12 (21 - 9 = 12).""}"
105924623,google-cloud-batch,12,"{'days_since_release': ""The package 'google-cloud-batch' had its last release (version 0.20.0) on January 9, 2026, as per the PyPI release history [6fc92d]. Given today's date of January 21, 2026, the number of days elapsed is 12 (21 - 9).""}"
99175148,google-analytics-admin,12,"{'days_since_release': ""The latest version of google-analytics-admin (0.27.0) was released on January 9, 2026 [7de446]. Given today's date is January 21, 2026, the number of days since release is 12 (21 - 9 = 12).""}"
73862291,langchain-core,12,"{'days_since_release': ""The latest release of 'langchain-core' (version 1.2.7) was on 2026-01-09 [f5985c]. Given today's date is 2026-01-21, the number of days since release is 12 (21 - 9).""}"
293565918,google-api-core,13,"{'days_since_release': ""The package 'google-api-core' last released version 2.29.0 on January 8, 2026, as found on PyPI and confirmed by NewReleases.io (https://pypi.org/project/google-api-core/, https://newreleases.io/project/pypi/google-api-core/release/2.29.0). Given today's date of January 21, 2026, the number of days since release is 13.""}"
169692304,werkzeug,13,"{'days_since_release': ""The last release of 'werkzeug' was on Jan 8, 2026 [85e1ce]. Given today's date of 2026-01-21, the number of days since the release is 13 (21 - 8 = 13).""}"
117737102,google-cloud-bigquery,13,"{'days_since_release': ""The latest release of google-cloud-bigquery (version 3.40.0) was on 2026-01-08 [c879c8]. Given today's date of 2026-01-21, the number of days since release is 13.""}"
101408714,build,13,"{'days_since_release': ""The latest version of the 'build' package (v1.4.0) was released on January 8, 2026, as found on pypi.org [d2ac89]. Given today's date is January 21, 2026, the number of days since the last release is 13 (2026-01-21 minus 2026-01-08).""}"
55671094,databricks-sql-connector,13,"{'days_since_release': ""The package 'databricks-sql-connector' last released version 4.2.4 on January 8, 2026 [620b24]. Given today's date of January 21, 2026, the number of days since the last release is 13.""}"
270787755,jsonschema,14,"{'days_since_release': ""According to the PyPI project page for 'jsonschema', the latest version was released on Jan 7, 2026 (https://pypi.org/project/jsonschema/). Given today's date of January 21, 2026, the number of days since the last release is 14 days (21 - 7).""}"
144654374,snowflake-connector-python,14,"{'days_since_release': ""The latest release for 'snowflake-connector-python' on PyPI (version 4.2.0) was on January 7, 2026 according to the PyPI project page (https://pypi.org/project/snowflake-connector-python/). Given today's date of January 21, 2026, the number of days since the last release is 14.""}"
93174268,types-requests,14,"{'days_since_release': ""The last release of types-requests was on January 7, 2026 [235416]. Given today's date is January 21, 2026, the number of days elapsed is exactly 14 days.""}"
73507043,pymongo,14,"{'days_since_release': ""According to the PyPI release history for 'pymongo', the latest version (4.16.0) was released on Jan 7, 2026 (https://pypi.org/project/pymongo/3.13.0/). Today's date is 2026-01-21. The number of days between 2026-01-07 and 2026-01-21 is 14 days.""}"
145292664,msal,15,"{'days_since_release': ""The latest release of the 'msal' package is version 1.35.0b1, which was released on January 6, 2026 [09a5ac]. Calculating the days from January 6, 2026, to the current date of January 21, 2026, results in 15 days.""}"
107601543,typer,15,"{'days_since_release': ""The package 'typer' last released version 0.21.1 on January 6, 2026 [54514d]. Today's date is January 21, 2026. The number of days between 2026-01-06 and 2026-01-21 is 15.""}"
97187097,azure-storage-blob,15,"{'days_since_release': ""The last release for 'azure-storage-blob' was version 12.28.0 on January 6, 2026 [6ddd20]. Calculating the days from January 6, 2026, to the current date of January 21, 2026 results in 15 days.""}"
65610614,dbt-common,15,"{'days_since_release': ""The last release of 'dbt-common' was version 1.34.1 on January 6, 2026 [7789c0]. Today's date is January 21, 2026. The number of days since release is 21 - 6 = 15 days. Note: Although some search snippets mention 'Released: Dec 15, 2025', the direct document query for the project history confirms a more recent release on January 6, 2026.""}"
58314588,scramp,15,"{'days_since_release': ""The last release of 'scramp' (version 1.4.8) on PyPI was on January 6, 2026, as shown on the pypi.org project page. Given today's date of January 21, 2026, the number of days is 21 - 6 = 15 days.""}"
93725542,tokenizers,16,"{'days_since_release': ""The latest release of tokenizers is version 0.22.2, which was released on January 5, 2026 [7cc1a1]. Given today's date of January 21, 2026, the number of days since the release is 16 (21 - 5 = 16).""}"
89579592,ipython,16,"{'days_since_release': ""The last release date for 'ipython' was January 5, 2026 [f8f901]. Today's date is January 21, 2026. The number of days from Jan 5, 2026, to Jan 21, 2026, is 16 days.""}"
95318098,marshmallow,17,"{'days_since_release': ""The latest release of the 'marshmallow' package is version 4.2.0, which was released on 2026-01-04 according to the release history on PyPI [9d4a36]. Given today's date of 2026-01-21, the number of days since this release is 17 (21 - 4).""}"
88531229,cython,17,"{'days_since_release': ""The latest release for Cython is version 3.2.4, which was published on 2026-01-04 [7cf7ec]. As today's date is 2026-01-21, the number of days since release is 17.""}"
280824866,aiohttp,18,"{'days_since_release': ""The latest release of 'aiohttp' (version 3.13.3) was on January 3, 2026, according to PyPI [7e188c]. As of today, January 21, 2026, this was 18 days ago.""}"
84551859,mpmath,18,"{'days_since_release': ""The last release of 'mpmath' on PyPI was version 1.4.0b3 on January 3, 2026 [ffd9c5]. Given today's date of January 21, 2026, the number of days since the last release is 18.""}"
239617573,pillow,19,"{'days_since_release': ""The package 'pillow' last release (version 12.1.0) was on Jan 2, 2026, as found on pypi.org (https://pypi.org/project/pillow/). Given today's date is Jan 21, 2026, the number of days since release is 19.""}"
118976897,ruamel-yaml,19,"{'days_since_release': ""The latest version of ruamel.yaml (0.19.1) was released on January 2, 2026, as found on PyPI [7eab0e]. Given today's date is January 21, 2026, the number of days since the last release is 19.""}"
168492486,pynacl,20,"{'days_since_release': ""The latest release of 'pynacl' (version 1.6.2) was on January 1, 2026 [439311]. Given today's date of 2026-01-21, the number of days since the release is 20 days.""}"
133489115,gitpython,20,"{'days_since_release': ""The latest version of GitPython (3.1.46) was released on January 1, 2026 [83a0b3]. Given today's date is January 21, 2026, the number of days since release is 20.""}"
73125664,sphinx,21,"{'days_since_release': ""The package 'sphinx' had its last release (version 9.1.0) on December 31, 2025, as found on PyPI [e22459]. Given today's date of January 21, 2026, the number of days since the release is 21.""}"
239159451,psutil,23,"{'days_since_release': 'The latest version of psutil (7.2.1) was released on December 29, 2025, as found on PyPI [391d82]. Calculating the difference between the current date (January 21, 2026) and the release date (December 29, 2025): 2 days in December (30th and 31st) and 21 days in January equals 23 days.'}"
71750140,termcolor,23,"{'days_since_release': ""The latest release of 'termcolor' (version 3.3.0) was on December 29, 2025, as found on PyPI [d955ac]. From December 29, 2025, to the current date of January 21, 2026, there are 23 days (2 days in December + 21 days in January).""}"
149123774,coverage,24,"{'days_since_release': ""The latest release of 'coverage' (version 7.13.1) was on 2025-12-28 [b2f0f4]. Given today's date is 2026-01-21, the number of days since release is 24 (3 days remaining in December + 21 days in January).""}"
205713076,fastapi,25,"{'days_since_release': ""The latest version of FastAPI on PyPI is 0.128.0, which was released on December 27, 2025 [24c112]. Given today's date of January 21, 2026, the number of days since release is 25 (4 days in December 2025 + 21 days in January 2026).""}"
71399567,dbt-core,30,"{'days_since_release': ""The latest release of dbt-core is version 1.11.2, which was released on December 22, 2025 [917a30]. Given today's date of January 21, 2026, the number of days since the release is 30 (9 days remaining in December + 21 days in January).""}"
217764972,uvicorn,31,"{'days_since_release': ""The last release of 'uvicorn' was version 0.40.0, which was published on December 21, 2025 [0445a2]. Given today's date of 2026-01-21, the number of days since release is 31 days (10 days in Dec + 21 days in Jan).""}"
93792297,jaraco-functools,31,"{'days_since_release': ""The last release of `jaraco-functools` (v4.4.0) was on December 21, 2025, as stated on its PyPI project page (https://pypi.org/project/jaraco.functools/) and PyPI user profile for jaraco (https://pypi.org/user/jaraco/). Given today's date of January 21, 2026, the number of days since release is 31 (10 days in December + 21 days in January).""}"
96170069,nodeenv,32,"{'days_since_release': 'The latest version of nodeenv on PyPI is 1.10.0, which was released on December 20, 2025 [151da5]. From December 20, 2025, to the current date of January 21, 2026, is exactly 32 days (11 days in December + 21 days in January).'}"
92361252,sqlparse,33,"{'days_since_release': ""The latest release for 'sqlparse' on PyPI is version 0.5.5, which was published on December 19, 2025 [1f77fb]. With today's date being January 21, 2026, there are 12 days remaining in December (31-19) and 21 days in January, totaling 33 days since the release.""}"
62183805,mcp,33,"{'days_since_release': ""The latest release for 'mcp' (version 1.25.0) was on December 19, 2025 [352bac]. From December 19, 2025, to the current date of January 21, 2026, the count is: December (12 days) and January (21 days), totaling 33 days.""}"
203017459,soupsieve,34,"{'days_since_release': 'The latest release of soupsieve (version 2.8.1) was on December 18, 2025, according to PyPI (https://pypi.org/project/soupsieve/). Given the current date of January 21, 2026, the number of days elapsed is 34 days (13 days in Dec + 21 in Jan).'}"
188009607,docutils,34,"{'days_since_release': ""The latest release of 'docutils' on PyPI is version 0.22.4, which was released on December 18, 2025, according to its PyPI project page (https://pypi.org/project/docutils/). With today's date being January 21, 2026, the number of days since release is 34 (13 days in December + 21 days in January).""}"
102493088,google-cloud-secret-manager,34,"{'days_since_release': ""The latest release of 'google-cloud-secret-manager' (version 2.26.0) was on December 18, 2025, according to PyPI [875850]. Calculating from that date to the current date of January 21, 2026: there are 13 days remaining in December 2025 and 21 days in January 2026, totaling 34 days.""}"
140035739,python-multipart,35,"{'days_since_release': ""The package 'python-multipart' had its last release (version 0.0.21) on December 17, 2025, according to PyPI (https://pypi.org/project/python-multipart/). From December 17, 2025, to January 21, 2026, is 35 days (14 days in December + 21 in January).""}"
60193966,google-cloud-bigtable,35,"{'days_since_release': ""The last release of google-cloud-bigtable was version 2.35.0 on December 17, 2025 [7eeb03]. Given today's date of January 21, 2026, the number of days since the release is calculated as 14 days in December 2025 (31 minus 17) plus 21 days in January 2026, totaling 35 days.""}"
172906508,proto-plus,36,"{'days_since_release': ""The latest version of 'proto-plus' (1.27.0) was released on Dec 16, 2025, according to PyPI. Using the current date of Jan 21, 2026, the number of days is calculated as 15 days remaining in December and 21 days in January, totaling 36 days. Source: pypi.org/project/proto-plus/.""}"
87512976,pre-commit,36,"{'days_since_release': 'The last release for pre-commit was on 2025-12-16 [b649e5]. As of the current date 2026-01-21, the number of days since this release is 36 (15 days remaining in 2025 plus 21 days in 2026).'}"
136809003,joblib,37,"{'days_since_release': ""The latest release of the 'joblib' package is version 1.5.3, which was published on December 15, 2025 [d4ddfc]. Calculated from December 15, 2025, to the current date of January 21, 2026: December 2025 (16 days) + January 2026 (21 days) = 37 days.""}"
115558072,google-crc32c,37,"{'days_since_release': ""Today is 2026-01-21. The latest release of 'google-crc32c' on PyPI is version 1.8.0, which was released on Dec 15, 2025. The number of days between 2025-12-15 and 2026-01-21 is 37 days. Sources: PyPI project page for google-crc32c and release tracking sites.""}"
102771866,google-auth-httplib2,37,"{'days_since_release': ""The last release of 'google-auth-httplib2' was version 0.3.0 on December 15, 2025 [34732f]. Given today's date is January 21, 2026, the number of days elapsed is 37 (16 days in December + 21 days in January).""}"
87839580,tornado,37,"{'days_since_release': ""The latest release of the 'tornado' package (version 6.5.4) was on December 15, 2025, according to PyPI and official documentation. Given today's date of January 21, 2026, the number of days since the release is 37 days (16 days remaining in December + 21 days in January).""}"
82188651,mypy,37,"{'days_since_release': ""Today is 2026-01-21. The latest release of 'mypy' on PyPI is version 1.19.1, which was released on December 15, 2025 [db898d]. The number of days from December 15, 2025, to January 21, 2026, is 37 days (16 days in December + 21 days in January).""}"
64521360,debugpy,37,"{'days_since_release': ""The last release of debugpy (version 1.8.19) was on December 15, 2025 [d48c52]. Given today's date of January 21, 2026, the number of days since the last release is 37 (16 days remaining in December + 21 days in January).""}"
166796220,huggingface-hub,40,"{'days_since_release': ""The package huggingface-hub version 1.2.3 was released on December 12, 2025, according to PyPI and Open Source Insights. Today's date is January 21, 2026. The number of days between 2025-12-12 and 2026-01-21 is 40 days (19 days in Dec + 21 in Jan). Sources: https://pypi.org/project/huggingface-hub/, https://deps.dev/pypi/huggingface-hub/0.35.0/versions.""}"
117411389,fonttools,40,"{'days_since_release': ""The package 'fonttools' had its last release (version 4.61.1) on December 12, 2025, according to PyPI [f11152]. Given today's date of January 21, 2026, the number of days since release is 40.""}"
281954971,opentelemetry-proto,41,"{'days_since_release': ""The package 'opentelemetry-proto' last release on PyPI was version 1.39.1, which was released on December 11, 2025 [ed6e42, b81ed6]. Today's date is January 21, 2026. The number of days between 2025-12-11 and 2026-01-21 is 41 days (20 days in December + 21 in January).""}"
263435215,opentelemetry-exporter-otlp-proto-grpc,41,"{'days_since_release': ""The package 'opentelemetry-exporter-otlp-proto-grpc' was last released (version 1.39.1) on 2025-12-11 [be908a]. Given today's date is 2026-01-21, there are 20 days remaining in December 2025 and 21 days in January 2026, totaling 41 days.""}"
246028689,opentelemetry-sdk,41,"{'days_since_release': ""The latest release of 'opentelemetry-sdk' is version 1.39.1, which was released on December 11, 2025 [588a4b]. Today's date is January 21, 2026. The number of days between 2025-12-11 and 2026-01-21 is 41 days.""}"
231187445,opentelemetry-exporter-otlp-proto-http,41,"{'days_since_release': ""The package 'opentelemetry-exporter-otlp-proto-http' was last released on December 11, 2025 (version 1.39.1), as shown on pypi.org (https://pypi.org/project/opentelemetry-exporter-otlp-proto-http/). Given today's date of January 21, 2026, the number of days since release is 41 (20 days in December + 21 days in January).""}"
214449447,opentelemetry-exporter-otlp,41,"{'days_since_release': ""The last release of 'opentelemetry-exporter-otlp' (version 1.39.1) was on December 11, 2025 [6f729a]. Given today's date of 2026-01-21, the number of days since release is 41 (20 days remaining in December + 21 days in January).""}"
196383261,opentelemetry-exporter-otlp-proto-common,41,"{'days_since_release': ""The latest version of 'opentelemetry-exporter-otlp-proto-common' on PyPI is 1.39.1, released on December 11, 2025, as stated on its PyPI page (https://pypi.org/project/opentelemetry-exporter-otlp-proto-common/). From December 11, 2025, to January 21, 2026, is 41 days (20 days remaining in December and 21 days in January).""}"
165368934,opentelemetry-api,41,"{'days_since_release': ""The last release of 'opentelemetry-api' on PyPI was version 1.39.1, uploaded on December 11, 2025 (https://pypi.org/project/opentelemetry-api/). Given today's date of January 21, 2026, the number of days since release is 41 (20 days in December + 21 days in January).""}"
161994747,opentelemetry-semantic-conventions,41,"{'days_since_release': ""The last release of 'opentelemetry-semantic-conventions' was on Dec 11, 2025 [97e719]. Given today's date of 2026-01-21, there are 41 days between Dec 11, 2025 and Jan 21, 2026 (20 days remaining in December + 21 days in January).""}"
89864756,opentelemetry-instrumentation,41,"{'days_since_release': 'The latest release for opentelemetry-instrumentation was version 0.60b1 on December 11, 2025 [fe7d13]. Given the current date is January 21, 2026, the number of days since release is 41 (20 days remaining in December + 21 days in January).'}"
81827412,opentelemetry-exporter-prometheus,41,"{'days_since_release': 'The latest release for opentelemetry-exporter-prometheus is version 0.60b1, which was released on December 11, 2025 [6cdd6b]. From December 11, 2025, to the current date of January 21, 2026, is 41 days (20 days remaining in December + 21 days in January).'}"
69295579,pymupdf,41,"{'days_since_release': 'The latest release for pymupdf was version 1.26.7 on December 11, 2025 [e3f614]. Given the current date is January 21, 2026, the number of days since release is 41 (20 days remaining in December + 21 days in January).'}"
67730845,opentelemetry-util-http,41,"{'days_since_release': ""The last release of 'opentelemetry-util-http' was version 0.60b1 on December 11, 2025 [d695bf]. From December 11, 2025, to the current date of January 21, 2026, is 41 days (20 days in December + 21 days in January).""}"
61136924,opentelemetry-instrumentation-requests,41,"{'days_since_release': ""The last release of 'opentelemetry-instrumentation-requests' was version 0.60b1 on December 11, 2025 [f828db]. Given today's date is January 21, 2026, the number of days elapsed is 41 (20 days in December + 21 days in January).""}"
157976522,scikit-learn,42,"{'days_since_release': ""The last release of scikit-learn (version 1.8.0) on PyPI was on December 10, 2025 [79e163]. Given today's date of January 21, 2026, the number of days since release is 42 (21 days remaining in December + 21 days in January).""}"
120986644,matplotlib,42,"{'days_since_release': ""The last release for matplotlib was version 3.10.8, published on December 10, 2025 [1a0fab]. Given today's date of January 21, 2026, the number of days elapsed is 42 (21 days remaining in December 2025 and 21 days in January 2026).""}"
69388998,snowflake-sqlalchemy,42,"{'days_since_release': ""The package 'snowflake-sqlalchemy' last released version 1.8.2 on December 10, 2025, according to PyPI [e6e1e3]. Given the current date of January 21, 2026, the number of days since release is 42 (21 days in December and 21 days in January).""}"
250258451,sqlalchemy,43,"{'days_since_release': ""The latest release of SQLAlchemy (version 2.0.45) was on December 9, 2025, according to PyPI [8ff9d9]. Given today's date is January 21, 2026, the number of days since release is 43 (22 days in December + 21 days in January).""}"
